"cell_id","X","Y","cluster","Pseudotime","paper_state","Zone","SOX2","EOMES","MYT1L"
"SRR2967154",-101.427374752659,-25.8969385203469,"3",40.4787832700498,"AP1","VZ",4.75670308634617,0,0
"SRR2967155",-135.090223505741,-16.3549103187169,"3",15.8974907502636,"AP1","VZ",5.81416842271304,0,0
"SRR2967161",-138.163637439646,-14.8143886849634,"3",14.0338941429606,"AP1","VZ",2.07325812383164,0,0
"SRR2967163",6.9385462842146,25.2369028974447,"1",140.599449387869,"BP1","iSVZ",1.50730752949433,0,0
"SRR2967165",-92.7310393653806,-9.92423473120569,"3",55.9951838404954,"AP1","VZ",0,0,0.271756728849581
"SRR2967166",-113.841865249894,-11.8239152759621,"3",36.576516496025,"AP1","VZ",0,0,0
"SRR2967167",-23.336983245502,14.7481589114058,"1",145.541857634404,"BP1","iSVZ",2.03280967072664,0,0
"SRR2967168",-11.6910783941468,42.7744115514067,"4",134.873336183793,"AP2","iSVZ",2.91356538872521,0,0.193174990700651
"SRR2967170",-97.317156005824,3.22165533925487,"3",58.3728427327637,"AP1","VZ",4.70096121362199,0,0
"SRR2967172",-120.313739323511,-4.34735252609261,"3",34.6548128150505,"AP1","VZ",1.7458267694061,0,0
"SRR2967173",-86.4770189274769,15.623789554387,"3",73.7854709519122,"AP1","VZ",4.36321313758603,0,0
"SRR2967176",-133.982142214375,-20.3190549264884,"3",14.8413776618617,"AP1","VZ",3.57908357896209,0,0
"SRR2967180",-125.992070444871,-16.9310146947957,"3",23.4590477477317,"AP1","VZ",1.99547728277138,0,0
"SRR2967190",-99.5066348098311,-4.10916892722295,"3",52.8924723854572,"AP1","VZ",3.79704411480318,0,0
"SRR2967193",-46.4959051464777,21.181659137084,"4",113.013778609281,"AP2","VZ",4.53773092253307,0,0
"SRR2967195",-86.3218229767579,-17.2571519726107,"3",58.0567117463487,"AP1","VZ",4.01489977188754,0,0.0369521258281847
"SRR2967196",-58.7810732719913,5.6674093335735,"3",94.5494292674845,"AP2","VZ",1.23363654804492,0,0
"SRR2967197",-119.840383499629,-10.4846441874911,"3",32.0220331503266,"AP1","VZ",3.08483984512123,0,0.472203883536159
"SRR2967201",-19.6299223457938,17.0003102539235,"1",143.217941774755,"BP1","iSVZ",3.50359043631107,0,0
"SRR2967202",-86.6156620009542,-36.7584428234695,"3",222.941462555741,"BP2","iSVZ",1.96765926178782,2.79545319397991,0.133532488394518
"SRR2967204",-114.034011634055,-5.06163538122873,"3",39.7473401149282,"AP1","VZ",3.38656679864246,0,0
"SRR2967215",-70.651701505929,-47.3905710279972,"3",224.936124141093,"BP2","iSVZ",0,0,2.87600608068978
"SRR2967216",-76.6299722310908,9.51221343094182,"3",79.6171541816604,"AP1","VZ",0,0,0.203222459799448
"SRR2967222",-48.3962328735211,-13.6069405053578,"5",183.207797466042,"BP1","iSVZ",0.906020099391793,0,0.00893483080041262
"SRR2967223",-90.7269880515601,6.07477972150584,"3",65.520490402585,"AP1","VZ",2.45524961684315,0,0
"SRR2967224",-96.0651655288956,-17.5246918222172,"3",49.3453525096185,"AP1","VZ",0.401727662295171,0,0
"SRR2967227",-81.7574170079696,-49.7151960353998,"3",231.729001462204,"BP2","iSVZ",3.04173886723293,0,4.2729637704532
"SRR2967228",-59.9502157410749,12.205679369251,"3",96.2749104287291,"AP2","VZ",1.54290680705426,0,0.340954150324367
"SRR2967232",-124.180185701767,-11.7967260269317,"3",27.6069802013559,"AP1","VZ",4.01512285962977,0.86711996655452,0.532962224649056
"SRR2967235",-24.0485727638765,-19.9852118056245,"1",169.961062512163,"BP1","iSVZ",0,0,5.25121538672977
"SRR2967238",-115.111547931527,-4.13575396688653,"3",39.2685028828779,"AP1","VZ",3.95299511588319,0,0
"SRR2967240",-129.175718660624,-20.602141223453,"3",18.8486399584187,"AP1","VZ",3.09844145540845,0,0
"SRR2967241",-97.8906231208578,-40.6892204769056,"3",230.20480988557,"BP2","iSVZ",3.95841583415186,0,0.197379799365687
"SRR2967242",-126.073127611145,-1.12537398315925,"3",31.2731193962922,"AP1","VZ",4.01294404716608,0,0
"SRR2967243",-124.853512895771,-15.9031454093186,"3",24.9642691047164,"AP1","VZ",3.53686108053547,0,0
"SRR2967246",-79.2803934446798,10.336187411309,"3",77.6375926379387,"AP1","VZ",0.632706542043761,0,0.275899811367671
"SRR2967247",-68.1595381424938,-70.1851231207813,"3",247.444205323005,"BP2","iSVZ",0.45800185538254,0,7.24989089968753
"SRR2967250",-116.318890820921,-9.51332643135569,"3",35.5650264774863,"AP1","VZ",3.82910874563922,0,0
"SRR2967251",-94.8978475200559,-10.0623374135475,"3",54.0272339881531,"AP1","VZ",2.70339975311323,0,0.145562687093071
"SRR2967254",-102.313826595569,2.38120249518688,"3",53.6002367135982,"AP1","VZ",3.04023842429009,0,0
"SRR2967257",-94.8661886025302,10.3696867550814,"3",63.9721689845695,"AP1","VZ",3.59824608753958,0,0.244867579565314
"SRR2967258",-114.55768279632,-22.9706676549102,"3",30.3635779707154,"AP1","VZ",0,0,0
"SRR2967260",-115.12304566239,-9.17472404750398,"3",36.7719683006355,"AP1","VZ",2.28018429514379,0,0.993980800014438
"SRR2967261",-86.3964463810593,-5.07198782812533,"3",63.9242199915734,"AP1","VZ",3.136914849666,0,0.177581070923152
"SRR2967269",-73.661447101735,17.6273705189772,"3",85.9566981668152,"AP1","VZ",2.97630314026322,0,0
"SRR2967270",-78.8306184229374,10.1978474689802,"3",77.9710049509427,"AP1","VZ",0,0,0
"SRR2967271",-17.4254046592563,10.9215399834443,"1",146.787761010275,"BP1","iSVZ",0,0,0
"SRR2967273",-132.463689021723,-7.39269711152448,"3",22.6825201139624,"AP1","VZ",3.9327982092834,0,0
"SRR2967274",3.79317328194722,-24.6118607534686,"2",309.091693613224,"BP2","iSVZ",0,6.39687873879685,5.26265865507222
"SRR2967275",-135.060142459312,-30.3361805219328,"3",8.81930592444563,"AP1","VZ",4.36357060205314,0,0.0430177089906451
"SRR2967276",-100.42656955955,0.927501938616204,"3",54.5409921133224,"AP1","VZ",3.34666761242992,0,0
"SRR2967279",-84.9530458317738,17.0769696872523,"4",75.7903977386138,"AP1","VZ",3.08299035036296,0,0
"SRR2967280",-42.8095724013962,6.44094368762162,"5",165.153698225485,"BP1","iSVZ",0,0,0
"SRR2967281",-60.326076568884,29.9383180888564,"4",102.633330436669,"AP2","VZ",4.56409765113484,0,0
"SRR2967283",-83.5112058696043,8.28974763299274,"4",72.9270872271318,"AP1","VZ",2.30762378585216,0,3.44154456441967
"SRR2967284",-101.7738369931,2.04569090884137,"5",53.9075827453586,"AP1","VZ",0,0,0.327732196233716
"SRR2967286",-113.853967975771,0.879669369994605,"3",42.815408262855,"AP1","VZ",3.70353264588842,0,0
"SRR2967287",-66.1889000504516,-18.7645878018481,"5",199.173385294465,"BP1","iSVZ",0,0,0
"SRR2967289",-41.5913538050818,-7.43370115002147,"5",174.013705090413,"BP1","iSVZ",0,0,0
"SRR2967290",-33.1135310518268,2.51887447268933,"5",161.023067693729,"BP1","iSVZ",0,0,0
"SRR2967292",33.9552156590139,-19.0155146890333,"2",309.091693613224,"BP2","iSVZ",0,0,6.34569619599333
"SRR2967293",-76.8058543361326,11.7134075218936,"5",80.4777078029719,"AP1","VZ",0,0,0
"SRR2967294",-93.8613835829858,-4.69653738183227,"5",57.5469754712692,"AP1","VZ",1.05575096411845,0,0
"SRR2967295",-37.1217786894954,31.5640940803656,"4",123.804624410256,"AP2","VZ",0,0,0
"SRR2967298",-75.6636397837215,-18.7041363209519,"5",204.87148168415,"BP1","iSVZ",0,0,0.139728803207072
"SRR2967300",-78.5608192562074,-25.0810167085689,"5",210.677959054751,"BP1","iSVZ",0,0,0.658503077657282
"SRR2967301",60.5520681953354,43.7233781353424,"6",309.091693613224,"BP2","iSVZ",1.30103153120334,0,4.55426344120586
"SRR2967304",-79.3514399805338,-32.5579937406607,"5",216.472523162361,"BP2","iSVZ",4.00630700143959,0,0
"SRR2967305",-49.1265481452556,-12.7919083472298,"4",183.178108572828,"BP1","iSVZ",0.989054696277637,0,5.78933540342196
"SRR2967306",-65.537609123158,15.0244298120032,"5",92.1814482568783,"AP2","VZ",0,0,0
"SRR2967308",-19.0760039299331,40.4756569611283,"4",133.295931211128,"AP2","VZ",1.48269858601362,0,0
"SRR2967309",-24.2997563137554,2.09907246370531,"1",155.798301607435,"BP1","iSVZ",2.90759445905976,0,6.87781785496118
"SRR2967310",26.0606152423133,27.4575834308255,"1",309.091693613224,"BP2","iSVZ",0,0,0
"SRR2967312",-83.5903764645173,-28.9415730916822,"5",215.943046924698,"BP2","iSVZ",0,0,0
"SRR2967313",-74.7441959524098,-28.9041940325575,"3",211.516348596234,"BP2","iSVZ",3.40294723935938,3.55812066272863,6.92231679921813
"SRR2967314",-22.0202297474099,33.2293810432843,"4",134.415924438948,"AP2","VZ",0,0,0
"SRR2967316",-59.9951094052635,-14.0382690724164,"5",191.740410693624,"BP1","iSVZ",0,0,0
"SRR2967318",-60.5530743546184,-17.492148829416,"5",194.501144139855,"BP1","iSVZ",0,0,0.151045691949724
"SRR2967319",52.5892478014864,-15.4896719499578,"2",309.091693613224,"BP2","iSVZ",0,0,9.63151904123023
"SRR2967321",-47.1214278643256,-4.97242005969882,"5",176.384467355098,"BP1","iSVZ",0,0,0
"SRR2967322",21.6039585589023,39.7626962141019,"1",309.091693613224,"BP2","iSVZ",0,0,0
"SRR2967323",-15.9394686061279,33.753936555766,"1",136.105401577042,"AP2","iSVZ",2.58144043357911,0,0
"SRR2967326",-9.1322932963505,19.6750250925857,"5",141.130278349395,"BP1","iSVZ",0,0,0
"SRR2967327",-37.0982493563389,-0.346506998636617,"5",165.869465554844,"BP1","iSVZ",0,0,0
"SRR2967328",-55.7203548873698,26.5650105709504,"4",105.663277835756,"AP2","VZ",0,0,0
"SRR2967330",-16.2265602197644,-0.88963143639894,"5",153.699821779846,"BP1","iSVZ",0,0,0
"SRR2967331",-35.7461968033206,-2.2704542746258,"5",166.247750144182,"BP1","iSVZ",1.37157001383488,0,0
"SRR2967332",-50.0216399906222,32.2857976576436,"4",112.306049011571,"AP2","VZ",2.14132814923484,0,1.05981210486304
"SRR2967333",22.0107545030389,44.1727649659119,"1",309.091693613224,"BP2","iSVZ",4.02175509242428,0,0
"SRR2967334",-82.2156757191484,-0.568096732555346,"5",69.8191794616086,"AP1","VZ",1.49110911508806,0,0
"SRR2967335",-54.9761124648473,-14.6833843340586,"5",188.695942193412,"BP1","iSVZ",0,0,1.00779829278709
"SRR2967337",-58.056103851966,-0.392765017959627,"4",181.211292185201,"BP1","iSVZ",0.268475116647451,5.64528086879952,1.50023097946419
"SRR2967338",-44.9559592204453,37.0703699723084,"4",117.686881707622,"AP2","VZ",6.00474856179968,0,0
"SRR2967339",-32.7092614220409,36.9963445483216,"4",126.987369819406,"AP2","VZ",0.852106735476696,0,0.109671733385434
"SRR2967340",-128.790595601225,-38.3731959395306,"5",10.1333432266152,"AP1","VZ",1.77155179786215,0,0
"SRR2967341",-45.5151519871348,-10.0632905423036,"5",178.674775095685,"BP1","iSVZ",0,0.321124578568887,0
"SRR2967342",-0.425745774204946,57.7498672947683,"4",134.873336183793,"AP2","iSVZ",0,0,0
"SRR2967343",-38.0870065759379,-8.75079984235485,"5",172.372705464008,"BP1","iSVZ",0.453758820324052,0,0
"SRR2967344",-92.8415760567996,-20.1194537751607,"5",50.9109476922755,"AP1","VZ",0,0,0
"SRR2967346",-42.6074637986049,-79.1826896120673,"5",250.560149875988,"BP2","iSVZ",0,0,8.59559316974456
"SRR2967347",11.7586756937329,41.9356531789864,"1",309.091693613224,"BP2","iSVZ",2.28476581301107,0,0
"SRR2967348",-78.2176891549238,-24.8246776960126,"5",210.268622427898,"BP1","iSVZ",3.79160572470455,0,0
"SRR2967349",-77.5668756946278,1.28543600039031,"5",74.8886110794579,"AP1","VZ",2.60518850508661,0,0
"SRR2967350",-66.0230931857345,-53.4368166402568,"3",228.776326276388,"BP2","iSVZ",2.54753866838855,0,8.37439615884164
"SRR2967351",-72.2354560760352,-27.5578787617916,"5",209.090952607072,"BP1","iSVZ",1.23767384350691,0,0
"SRR2967353",38.3415876519488,-18.1726079875062,"2",309.091693613224,"BP2","iSVZ",0,0,7.71171514862302
"SRR2967355",5.40195473486212,-47.467428563579,"2",309.091693613224,"BP2","iSVZ",2.52256301442467,0.278693724608166,7.8649722920979
"SRR2967358",-60.2003899205099,16.749130025863,"4",97.9326532668177,"AP2","VZ",3.52845879927186,0,0.934573113753575
"SRR2967359",31.6755483995997,-9.46805221734155,"2",309.091693613224,"BP2","oSVZ",0,1.97905220437771,5.38071559767822
"SRR2967361",-126.743917928164,-35.1583832276285,"5",13.5386070841404,"AP1","VZ",1.30212014567622,0,0
"SRR2967364",-46.8681103829253,26.2226947714857,"4",113.883705517113,"AP2","VZ",2.91762270172628,0,0
"SRR2967366",-34.990511565165,40.4909698293128,"4",125.449241720364,"AP2","VZ",4.3739404788422,0,0
"SRR2967367",-44.8696143825745,21.1906612729463,"4",114.769615165784,"AP2","VZ",4.19284118097094,0,0
"SRR2967368",-93.7651337117114,-0.814907216628192,"5",59.5215203245846,"AP1","VZ",0,0,0.20006862915694
"SRR2967369",-47.0394324648613,-11.4522582422063,"5",180.737688041275,"BP1","iSVZ",3.56429279946886,0,0.250173331534433
"SRR2967370",-60.5190637174787,-23.3712040011364,"5",198.69816544952,"BP1","iSVZ",1.71404325138311,0.495852724967485,0.284127941507471
"SRR2967373",-60.3113530507453,-4.2526484333807,"5",185.367344930385,"BP1","iSVZ",5.21740910296548,1.37941579867321,0
"SRR2967375",-9.91548488224731,24.6910347980709,"1",139.04259405022,"BP1","iSVZ",4.1179443347893,0,0
"SRR2967376",27.3718950295683,-33.0205490825214,"2",309.091693613224,"BP2","oSVZ",0,0,7.00922398607117
"SRR2967377",25.6347466153771,-47.5050535824967,"2",309.091693613224,"BP2","oSVZ",0,0,7.04643649099447
"SRR2967378",-74.3612389058617,-46.1005169706569,"5",225.446859777168,"BP2","iSVZ",1.23717209399553,0,0
