"cell_id","Component_1","Component_2","State","Pseudotime","stage_group","paper_like_label","SOX2","EOMES","MYT1L","Zone"
"SRR2967160",-19.6645255754385,-1.66688632069315,"5",39.8984458201238,"N_like","N1",4.54353918837311,0,0,"CP"
"SRR2967161",-20.420202926511,-1.71546910282113,"5",40.6372774743889,"N_like","N1",2.07325812383164,0,0,"CP"
"SRR2967162",-18.8346828834055,-1.5684791270901,"5",39.0743641315978,"N_like","N1",3.92051245123985,0,0,"CP"
"SRR2967163",6.9314006094427,4.65531851063861,"3",13.0704832690453,"BP_like","BP2",1.50730752949433,0,0,"iSVZ"
"SRR2967164",-21.0703480636446,-2.04368233275352,"5",41.3535463605239,"N_like","N1",4.66043237984981,0,0,"CP"
"SRR2967165",-19.0336270210702,-1.58247043353813,"5",39.2692235651175,"N_like","N1",0,0,0.271756728849581,"CP"
"SRR2967166",-19.5356322580767,-1.49085682512734,"5",39.725180964601,"N_like","N1",0,0,0,"CP"
"SRR2967167",-0.177772407801418,3.22439878136274,"4",19.6816038773599,"BP_like","BP1",2.03280967072664,0,0,"oSVZ"
"SRR2967168",1.99630508083358,3.71869461043093,"4",17.5086649914577,"BP_like","BP1",2.91356538872521,0,0.193174990700651,"oSVZ"
"SRR2967169",-19.2171654665997,-1.38500420725845,"5",39.3897555709195,"N_like","N1",3.60981404906209,0,0,"CP"
"SRR2967170",-19.2832691394634,-1.28704864841789,"5",39.4256042950598,"N_like","N1",4.70096121362199,0,0,"CP"
"SRR2967171",-19.8285490504934,-1.63272449465799,"5",40.0462318917732,"N_like","N1",4.06661449419928,0,0,"CP"
"SRR2967172",-19.875817736637,-1.44907746062463,"5",40.0398726707514,"N_like","N1",1.7458267694061,0,0,"CP"
"SRR2967173",-18.9998573665783,-1.05592790874463,"5",39.0885270344664,"N_like","N1",4.36321313758603,0,0,"CP"
"SRR2967174",-19.7192117612339,-1.64286770859842,"5",39.944160509109,"N_like","N1",2.86203473995523,0,0,"CP"
"SRR2967175",-20.1941509078091,-1.85703318804086,"5",40.4602315827539,"N_like","N1",3.72374421050853,0,0,"CP"
"SRR2967176",-20.0518661182553,-1.71359676259864,"5",40.2833050596609,"N_like","N1",3.57908357896209,0,0,"CP"
"SRR2967177",-18.9265757850749,-1.33725892236104,"5",39.0974332171141,"N_like","N1",1.95055053158251,0,0.175306144394348,"CP"
"SRR2967178",-19.5370946143111,-2.13936577488682,"5",39.9092200803301,"N_like","N1",3.6900482727425,3.03448689961008,5.41213453814433,"CP"
"SRR2967179",-18.9665644998105,-1.29232355424101,"5",39.1231551570821,"N_like","N1",3.40275627948341,0,0,"CP"
"SRR2967180",-19.9729438314394,-1.63804714472916,"5",40.1862935016909,"N_like","N1",1.99547728277138,0,0,"CP"
"SRR2967181",-19.901034271427,-1.88610973411838,"5",40.1871480004917,"N_like","N1",2.06182457457336,0,0,"CP"
"SRR2967182",-19.4528530858775,-1.56202383631355,"5",39.6657855731113,"N_like","N1",3.57528812419173,0,0,"CP"
"SRR2967183",-17.1648003754863,-0.725129773596418,"5",37.2367425804751,"N_like","N1",3.4830934429685,0,0,"CP"
"SRR2967184",-6.29534761805692,2.17136825866567,"4",25.8763670393997,"BP_like","BP1",3.46897423830468,0,0,"oSVZ"
"SRR2967185",-19.3440210235784,-1.54353923835162,"5",39.5561412655668,"N_like","N1",3.5095565055698,0,0.215817734651394,"CP"
"SRR2967186",-20.4311205921206,-1.86847401096324,"5",40.690839824596,"N_like","N1",6.10749329320243,0,0,"CP"
"SRR2967187",-20.6955058534309,-2.0175721912908,"5",40.9865177054384,"N_like","N1",4.65644488567224,0,0,"CP"
"SRR2967188",6.89094069959744,4.82574230263173,"3",13.2175534744581,"BP_like","BP2",5.62429101830771,0,0,"iSVZ"
"SRR2967189",-19.7223733472561,-1.87589501708139,"5",40.0128206404293,"N_like","N1",2.73556116852749,0,0,"CP"
"SRR2967190",-19.3148440888889,-1.39488807185327,"5",39.4862770997159,"N_like","N1",3.79704411480318,0,0,"CP"
"SRR2967191",-16.7557383495248,-0.407005795225939,"5",36.7583523706235,"N_like","N1",3.14493064687633,0,0,"CP"
"SRR2967192",-8.51600889102072,1.20744552263266,"4",28.2569692346605,"N_like","BP1",0,0,0,"oSVZ"
"SRR2967193",-7.1024192735786,2.18126320962884,"4",26.6431264713364,"BP_like","BP1",4.53773092253307,0,0,"oSVZ"
"SRR2967194",-1.52404732655349,1.91173832294541,"4",21.1869349791712,"BP_like","BP1",0,0,1.37630149804802,"oSVZ"
"SRR2967195",-19.0649941634919,-1.70322599719742,"5",39.3333402604706,"N_like","N1",4.01489977188754,0,0.0369521258281847,"CP"
"SRR2967196",-10.8272602464541,0.88118480801919,"4",30.5657635651305,"N_like","BP1",1.23363654804492,0,0,"oSVZ"
"SRR2967197",-19.7453913613066,-1.58581350003473,"5",39.9532158376528,"N_like","N1",3.08483984512123,0,0.472203883536159,"CP"
"SRR2967198",-19.911717880186,-1.62580008528614,"5",40.1240939692844,"N_like","N1",2.07081863753328,0,0,"CP"
