"cell_id","X","Y","cluster","Pseudotime","paper_state","Zone","PAX6","EOMES","MYT1L"
"SRR2967476",-136.672287911259,1.91135201288885,"1",41.1404460263658,"AP1","VZ",9.75796330629734,0,0.246232946511906
"SRR2967477",5.39087562727063,33.4621152178919,"3",323.145917022888,"N3","CP",4.83950615536944,0,7.69868383347854
"SRR2967478",-135.726752483202,26.7477883498538,"1",22.4054228803887,"AP1","VZ",8.37084866582014,5.28966850144771,4.20260578471626
"SRR2967480",54.0247850903891,-29.172124338634,"6",219.925766860493,"BP1","iSVZ",5.07441124023629,0,6.00932477555286
"SRR2967483",-49.6295484592828,-33.743085143972,"5",125.957914810344,"AP2","VZ",8.32260870604071,0,0.998715429694993
"SRR2967484",3.36434678607041,38.5741870458799,"3",323.145917022888,"N3","CP",0,2.68994990407207,3.88020552649924
"SRR2967486",1.31873424424739,-15.2397563808842,"6",186.017598852408,"BP1","iSVZ",4.16765497928152,6.21370110693649,2.64574545977677
"SRR2967488",-76.710892819548,-27.5214567299348,"1",99.5411079222892,"AP1","VZ",7.19157252024231,0,0
"SRR2967491",-62.1062289084477,-24.6259493145292,"5",110.54309880516,"AP1","VZ",7.38866312361939,1.73720217675367,0
"SRR2967492",31.3304408812423,-94.502109844246,"6",191.009414676801,"BP1","iSVZ",0,0,0
"SRR2967493",-9.81596784240472,-1.23666238414783,"3",323.145917022888,"N3","CP",5.00144197417391,0,7.43935717847426
"SRR2967497",-59.0914517741909,-21.177635363651,"5",111.678059566659,"AP1","VZ",5.49505232948411,0,0.434809145261313
"SRR2967498",-58.4421284138261,-19.4362575065202,"5",111.299866882807,"AP1","VZ",5.54187410558094,0,0
"SRR2967499",-40.6188885283829,-39.8789797879491,"5",136.528106034786,"AP2","VZ",7.97407610474345,0,0
"SRR2967502",66.4434223535197,-85.5165943231492,"6",204.475096621879,"BP1","iSVZ",0,6.26912667914942,0.802759014744129
"SRR2967505",2.81249362111494,19.5281731126955,"3",323.145917022888,"N3","CP",0.406616122365117,0,7.57666573516288
"SRR2967507",-42.8195336832022,-32.3610341849733,"5",131.892339109666,"AP2","VZ",7.67041548482643,0,0
"SRR2967508",-1.58930737222427,25.7865870102587,"3",323.145917022888,"N3","CP",4.91923042200893,0,8.04397327192829
"SRR2967509",-74.9252561178258,-22.0519444968872,"5",98.0908047156634,"AP1","VZ",9.04057466968177,0,0
"SRR2967511",-18.1037806488085,-54.6395947381861,"5",160.66655864427,"AP2","VZ",8.2868395736256,0,8.08027924733511
