"cell_id","X","Y","cluster","Pseudotime","paper_state","Zone","SOX2","EOMES","MYT1L"
"SRR2967308",-19.0760039299331,-40.4756569611283,"4",20.8633541572471,"AP1","VZ",1.48269858601362,0,0
"SRR2967309",-24.2997563137554,-2.09907246370531,"1",65.8583718008326,"BP1","iSVZ",2.90759445905976,0,6.87781785496118
"SRR2967310",26.0606152423133,-27.4575834308255,"1",65.0686357143331,"AP2","iSVZ",0,0,0
"SRR2967312",-83.5903764645173,28.9415730916822,"5",78.043932354179,"BP1","iSVZ",0,0,0
"SRR2967313",-74.7441959524098,28.9041940325575,"3",114.040468771965,"BP2","iSVZ",3.40294723935938,3.55812066272863,6.92231679921813
"SRR2967314",-22.0202297474099,-33.2293810432843,"4",16.4875634766322,"AP1","VZ",0,0,0
"SRR2967316",-59.9951094052635,14.0382690724164,"5",56.0570299775999,"AP2","VZ",0,0,0
"SRR2967318",-60.5530743546184,17.492148829416,"5",57.5300560656729,"AP2","VZ",0,0,0.151045691949724
"SRR2967319",52.5892478014864,15.4896719499578,"2",130.377430419099,"N1","oSVZ",0,0,9.63151904123023
"SRR2967321",-47.1214278643256,4.97242005969882,"5",70.9720558928299,"BP1","iSVZ",0,0,0
"SRR2967322",21.6039585589023,-39.7626962141019,"1",63.5158536372705,"AP2","iSVZ",0,0,0
"SRR2967323",-15.9394686061279,-33.753936555766,"1",47.2100163638399,"AP2","VZ",2.58144043357911,0,0
"SRR2967326",-9.1322932963505,-19.6750250925857,"5",116.198588882381,"BP2","oSVZ",0,0,0
"SRR2967327",-37.0982493563389,0.346506998636617,"5",82.0029243798447,"BP1","iSVZ",0,0,0
"SRR2967328",-55.7203548873698,-26.5650105709504,"4",18.3348631705736,"AP1","VZ",0,0,0
"SRR2967330",-16.2265602197644,0.88963143639894,"5",101.429711070009,"BP1","iSVZ",0,0,0
"SRR2967331",-35.7461968033206,2.2704542746258,"5",82.4439933243224,"BP1","iSVZ",1.37157001383488,0,0
"SRR2967332",-50.0216399906222,-32.2857976576436,"4",11.5325878504782,"AP1","VZ",2.14132814923484,0,1.05981210486304
"SRR2967333",22.0107545030389,-44.1727649659119,"1",66.0242296216746,"BP1","iSVZ",4.02175509242428,0,0
"SRR2967334",-82.2156757191484,0.568096732555346,"5",75.4285803962622,"BP1","iSVZ",1.49110911508806,0,0
"SRR2967335",-54.9761124648473,14.6833843340586,"5",61.1159895968843,"AP2","iSVZ",0,0,1.00779829278709
"SRR2967337",-58.056103851966,0.392765017959627,"4",38.5842047913662,"AP1","VZ",0.268475116647451,5.64528086879952,1.50023097946419
"SRR2967338",-44.9559592204453,-37.0703699723084,"4",7.69852169908341,"AP1","VZ",6.00474856179968,0,0
"SRR2967339",-32.7092614220409,-36.9963445483216,"4",7.11332839060675,"AP1","VZ",0.852106735476696,0,0.109671733385434
"SRR2967340",-128.790595601225,38.3731959395306,"5",122.581339723879,"BP2","oSVZ",1.77155179786215,0,0
"SRR2967341",-45.5151519871348,10.0632905423036,"5",70.813545467148,"BP1","iSVZ",0,0.321124578568887,0
"SRR2967342",-0.425745774204946,-57.7498672947683,"4",45.4854121283493,"AP2","VZ",0,0,0
"SRR2967343",-38.0870065759379,8.75079984235485,"5",78.3562532287154,"BP1","iSVZ",0.453758820324052,0,0
"SRR2967344",-92.8415760567996,20.1194537751607,"5",82.7932589832166,"BP1","iSVZ",0,0,0
"SRR2967346",-42.6074637986049,79.1826896120673,"5",121.52603908003,"BP2","oSVZ",0,0,8.59559316974456
"SRR2967347",11.7586756937329,-41.9356531789864,"1",56.4797369374933,"AP2","VZ",2.28476581301107,0,0
"SRR2967348",-78.2176891549238,24.8246776960126,"5",71.275284549548,"BP1","iSVZ",3.79160572470455,0,0
"SRR2967349",-77.5668756946278,-1.28543600039031,"5",73.0703116685648,"BP1","iSVZ",2.60518850508661,0,0
"SRR2967350",-66.0230931857345,53.4368166402568,"3",137.643488416699,"N1","CP",2.54753866838855,0,8.37439615884164
"SRR2967351",-72.2354560760352,27.5578787617916,"5",69.234489260141,"BP1","iSVZ",1.23767384350691,0,0
"SRR2967353",38.3415876519488,18.1726079875062,"2",128.491279114211,"N1","oSVZ",0,0,7.71171514862302
"SRR2967355",5.40195473486212,47.467428563579,"2",155.834687266145,"N2","CP",2.52256301442467,0.278693724608166,7.8649722920979
"SRR2967358",-60.2003899205099,-16.749130025863,"4",27.0303549287254,"AP1","VZ",3.52845879927186,0,0.934573113753575
"SRR2967359",31.6755483995997,9.46805221734155,"2",139.38185570902,"N1","CP",0,1.97905220437771,5.38071559767822
"SRR2967361",-126.743917928164,35.1583832276285,"5",119.563427923836,"BP2","oSVZ",1.30212014567622,0,0
"SRR2967364",-46.8681103829253,-26.2226947714857,"4",10.6843297285441,"AP1","VZ",2.91762270172628,0,0
"SRR2967366",-34.990511565165,-40.4909698293128,"4",8.39129238514552,"AP1","VZ",4.3739404788422,0,0
"SRR2967367",-44.8696143825745,-21.1906612729463,"4",13.3020124177079,"AP1","VZ",4.19284118097094,0,0
"SRR2967368",-93.7651337117114,0.814907216628192,"5",85.5102566474418,"BP1","iSVZ",0,0,0.20006862915694
"SRR2967369",-47.0394324648613,11.4522582422063,"5",69.0912436645135,"BP1","iSVZ",3.56429279946886,0,0.250173331534433
"SRR2967370",-60.5190637174787,23.3712040011364,"5",62.9141029819404,"AP2","iSVZ",1.71404325138311,0.495852724967485,0.284127941507471
"SRR2967373",-60.3113530507453,4.2526484333807,"5",62.3345457310446,"AP2","iSVZ",5.21740910296548,1.37941579867321,0
"SRR2967375",-9.91548488224731,-24.6910347980709,"1",39.8292324255907,"AP1","VZ",4.1179443347893,0,0
"SRR2967376",27.3718950295683,33.0205490825214,"2",131.140032309842,"N1","oSVZ",0,0,7.00922398607117
"SRR2967377",25.6347466153771,47.5050535824967,"2",137.899484775022,"N1","CP",0,0,7.04643649099447
"SRR2967378",-74.3612389058617,46.1005169706569,"5",87.0263727823759,"BP1","iSVZ",1.23717209399553,0,0
"SRR2967380",1.91469074101001,-8.64575541338835,"1",53.7820782907645,"AP2","VZ",5.32896926991138,0,1.64379155558908
"SRR2967381",-10.9053626686447,-1.35379855647508,"1",60.6012488030232,"AP2","VZ",2.88922041593323,0,0
"SRR2967382",3.36867333702164,-30.2724924387875,"1",42.9913509509939,"AP1","VZ",3.47303355282339,0,0.124072662711656
"SRR2967384",-1.06510306728609,-11.8075687926655,"1",49.8839063845962,"AP2","VZ",1.64081987482691,0,0
"SRR2967385",-9.41352152034233,-28.7386166175388,"1",39.1192075179243,"AP1","VZ",3.09441175034817,0,0.0486620945350443
"SRR2967386",24.2814893945952,-51.3863717448854,"1",72.1343313017213,"BP1","iSVZ",0,0.477943567001424,0
"SRR2967387",-5.15632931933842,3.78312774648824,"1",65.0249067897229,"AP2","iSVZ",4.25125705328603,0,2.29035067472048
"SRR2967389",37.1655732734062,39.8648118516521,"2",124.110986531367,"BP2","oSVZ",0,0,7.62993212602535
"SRR2967390",-83.3432005793648,1.30824646971377,"3",104.337296778221,"BP1","iSVZ",3.31379002544369,0,0
"SRR2967391",11.0855277523909,23.6393487565895,"2",148.462559173472,"N2","CP",0.379544445070558,0,9.77855028220223
"SRR2967392",18.2559094117601,-34.1143689472078,"1",58.322961083914,"AP2","VZ",3.68528983630269,0,0
"SRR2967393",25.3885781970978,6.82337272203559,"2",145.211229387539,"N2","CP",0,5.46482180653879,4.02360134467431
"SRR2967395",0.23874166692687,50.3195198874465,"2",161.676671476861,"N2","CP",2.07625807472156,0,6.28093033914948
"SRR2967396",-43.7723440221156,-39.363530048545,"4",8.36150085152156,"AP1","VZ",3.19492071163873,0,0
"SRR2967398",30.2960880818608,8.90105663686708,"2",140.611911670119,"N2","CP",2.27460756836389,0,4.2271403411921
"SRR2967399",13.2818393379564,-15.7978987732899,"1",55.4946983591845,"AP2","VZ",0.857906968048349,0,0
"SRR2967402",20.1726549279666,21.2492402658794,"2",140.573624139007,"N1","CP",0,0,8.17976978859633
"SRR2967406",-62.5083867859795,7.57850473299972,"3",121.441147671945,"BP2","oSVZ",4.48493725829624,0,0
"SRR2967407",114.964561967051,-55.0661850541808,"6",225.507583449024,"N3","CP",0,0,4.84354172490545
"SRR2967409",37.4365794418604,43.391759734254,"2",126.478100222779,"BP2","oSVZ",0,0,0.45143322030669
"SRR2967410",-60.7665318411476,24.6947753516091,"5",64.131903564038,"AP2","iSVZ",2.17181209422324,0,0
"SRR2967412",-13.5927508104061,23.3876630239938,"1",85.3879770964577,"BP1","iSVZ",1.1194624245457,0,3.78161150741224
"SRR2967413",4.78454808895055,-27.1287880996946,"1",43.7901398516699,"AP1","VZ",0.297986074206356,0,0
"SRR2967415",-114.779843910994,23.3720267117544,"3",106.960376730173,"BP2","iSVZ",4.06570154867168,0.412416267289756,0
"SRR2967416",34.8066314302357,25.4539882228588,"2",125.592598866084,"BP2","oSVZ",0,0,4.06530518494014
"SRR2967417",31.7053180639484,23.548618221004,"2",129.23237346079,"N1","oSVZ",0,0,7.49329507050358
"SRR2967418",10.6915505485488,30.7120384444832,"2",147.840707439108,"N2","CP",0,0,1.86465961766763
"SRR2967419",-14.8621317229168,28.6764289197697,"1",90.8172051468883,"BP1","iSVZ",0,0.819471996327726,0
"SRR2967420",18.222347412266,33.420215474159,"2",140.298246800094,"N1","CP",0,0.282682952025103,6.52436148932734
"SRR2967422",66.9102008190628,-13.5750976136831,"6",186.209142288409,"N2","CP",0,0,6.07967677482759
"SRR2967423",-59.3690148581247,15.5109935503146,"5",57.1218426842205,"AP2","VZ",0,0,0
"SRR2967426",3.98306149524213,-36.0322691848013,"1",46.7771185092345,"AP2","VZ",2.30623890439896,0.580692543290803,0.831796188631698
"SRR2967427",-18.9652111020371,1.91441161777007,"1",66.4330154165931,"BP1","iSVZ",0,0,0.94097480931168
"SRR2967430",-53.3334463418148,-4.39697475091272,"1",87.7557977716843,"BP1","iSVZ",3.04109576094078,0,0
"SRR2967431",-102.923187843157,43.7979171808486,"5",102.425641970631,"BP1","iSVZ",2.95773262562028,0,0
"SRR2967433",-8.77858091137804,-49.989010458137,"4",34.3020957121023,"AP1","VZ",2.78468614046929,0,0
"SRR2967434",-69.7493062435886,-22.3656667385749,"4",32.9640684201513,"AP1","VZ",1.16923875661394,0,1.26067607744077
"SRR2967435",-26.0158183905561,92.5949802687511,"2",206.40506123168,"N3","CP",0,0,5.08488490440721
"SRR2967436",-75.4422873505911,-10.261560722395,"5",79.2273567831701,"BP1","iSVZ",0,0,0
"SRR2967437",-70.4007609314162,-19.6552109568107,"4",34.5261792957798,"AP1","VZ",4.18246983839916,0,0.73814523630177
"SRR2967438",-34.0408274495934,0.665847938749875,"5",84.6383601249054,"BP1","iSVZ",0,0,0
"SRR2967439",-16.5080333501647,-21.1488935627868,"1",47.3067356400714,"AP2","VZ",2.77832634261511,0,0
"SRR2967440",-68.6608399468984,-30.6578559084466,"4",30.2380213544943,"AP1","VZ",4.28209132167335,0,1.45789367319723
"SRR2967441",-34.1705300658687,103.211010406204,"2",219.51032158847,"N3","CP",0,0,9.20914627285415
"SRR2967442",-55.633526518014,-29.5519204998354,"4",17.4481557529066,"AP1","VZ",4.67647616864816,0,0.930967393602147
"SRR2967443",-9.0923890899602,85.6275183468759,"2",189.15067532541,"N2","CP",0,0.241649845067328,5.77947248381303
"SRR2967444",-73.6140202244766,-24.596454922346,"4",36.0719122635886,"AP1","VZ",4.0080834545129,0,0
"SRR2967445",-95.204820229144,0.502040691958458,"5",86.9604979141513,"BP1","iSVZ",0,0,0.454515992145206
"SRR2967446",-43.7794361209996,5.84000406562237,"5",73.6602298131388,"BP1","iSVZ",0,0,0
"SRR2967447",-30.0686140503351,-39.4581804318317,"4",10.7028043770275,"AP1","VZ",0,0,1.94970673889513
"SRR2967449",1.49243255336987,-26.0957495494804,"1",40.5674773939148,"AP1","VZ",2.42809682018114,0,6.09019924346878
"SRR2967450",-64.331730406234,-29.0261412596987,"4",26.1123970596901,"AP1","VZ",0,0,0
"SRR2967451",12.6010776973188,39.6350939531572,"2",146.69320264929,"N2","CP",1.856914001291,0.443899403999735,8.63075491923525
"SRR2967452",-43.5426794066225,0.820027906282526,"1",81.9195568467898,"BP1","iSVZ",4.28083756861177,0,0.879827292539454
"SRR2967453",-17.9718865449253,78.1300566867466,"2",191.179566298409,"N2","CP",0,0,8.74240039122287
"SRR2967454",-0.4579301969277,-41.0991758758166,"1",48.9217493256846,"AP2","VZ",0.444230270117799,0,0
"SRR2967455",4.39351004302435,69.3228144884155,"2",168.1726152443,"N2","CP",0,0.544164861642224,4.95711597496823
"SRR2967456",-64.4680020531935,19.3348539663801,"5",58.5647129892826,"AP2","VZ",0,0,0
"SRR2967457",-9.04343208774355,-53.712617273495,"4",36.0875050877019,"AP1","VZ",0,0,0
"SRR2967458",-74.4616255342033,2.23314775294562,"4",50.2516888772124,"AP2","VZ",4.43688806891194,0,4.71969273037631
"SRR2967459",-40.1089386581108,-34.3533263871737,"4",2.18509668545149,"AP1","VZ",5.54514982746818,0,0
"SRR2967460",-7.87302653558957,-15.6183041468458,"5",115.293757921921,"BP2","iSVZ",0,0,1.52675493050504
"SRR2967461",-59.2842071157771,-30.6735215327288,"4",20.8961428728971,"AP1","VZ",5.30652473617285,0,0.605716196936474
