"cell_id","Component_1","Component_2","State","Pseudotime","stage_group","paper_like_label","PAX6","EOMES","MYT1L","Zone"
"SRR2967245",-13.3960084243801,0.485821828187525,"5",33.2942029360087,"N_like","N1",6.89110319814101,0,0,"oSVZ"
"SRR2967246",-16.1622560178367,-0.287614958704687,"5",36.15721065994,"N_like","N1",6.68587008579677,0,0.275899811367671,"CP"
"SRR2967247",-18.5067404600239,-2.73282766254607,"5",39.0875682261505,"N_like","N1",1.19612228762746,0,7.24989089968753,"CP"
"SRR2967248",-18.5663172967338,-1.00933571077383,"5",38.6593970558009,"N_like","N1",7.06274774578219,0,0,"CP"
"SRR2967249",-19.7173620979489,-1.62884273750997,"5",39.9384351123593,"N_like","N1",8.67519139014599,0,0,"CP"
"SRR2967250",-19.6222869198055,-1.52272482307156,"5",39.8173152293551,"N_like","N1",2.95835829373714,0,0,"CP"
"SRR2967251",-19.1105994027686,-1.41852034036444,"5",39.2969199974278,"N_like","N1",5.39695749198387,0,0.145562687093071,"CP"
"SRR2967252",-19.8236457866086,-1.51306888559676,"5",40.0078228656843,"N_like","N1",7.76892533556375,0,0.179899538347182,"CP"
"SRR2967253",-19.8375844018238,-1.55777434408569,"5",40.0337911659749,"N_like","N1",2.73087685361756,0,0,"CP"
"SRR2967254",-19.3190068653724,-1.2322762011451,"5",39.4444759702819,"N_like","N1",7.56791805923499,0,0,"CP"
"SRR2967255",-19.1541529871873,-1.48932163973684,"5",39.3586631792044,"N_like","N1",6.75197245247521,0,0.188838920842466,"CP"
"SRR2967256",-19.5138011338449,-1.56876147120485,"5",39.7261719736899,"N_like","N1",0,0,0.638394554933028,"CP"
"SRR2967257",-19.1280455094951,-1.08518828802329,"5",39.2197872028432,"N_like","N1",6.33930666356127,0,0.244867579565314,"CP"
"SRR2967258",-19.5446593217604,-1.60235856942114,"5",39.7652446546035,"N_like","N1",1.15562619688515,0,0,"CP"
"SRR2967259",-19.4451646841253,-1.3787783718562,"5",39.6068025452571,"N_like","N1",8.63408135194764,0,0,"CP"
"SRR2967260",-19.612801062434,-1.58335179986336,"5",39.8252866518645,"N_like","N1",3.23912456963853,0,0.993980800014438,"CP"
"SRR2967261",-18.8575113070343,-1.26193656330105,"5",39.0099445533823,"N_like","N1",6.53263644910901,0,0.177581070923152,"CP"
